Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,32.3182,-86.9023,1273484,17933,NA,NA,1,25972.587206071155,NA,NA,1.408184162502238,84000001,USA,NA,NA,NA,NA
Alaska,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,61.3707,-152.4044,235956,1141,NA,NA,2,32254.47511773028,3741734,NA,0.483564732407737,84000002,USA,511483.7774846387,NA,NA,NA
American Samoa,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,-14.271,-170.132,18,0,NA,NA,60,32.350245322693695,2140,NA,0,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,33.7298,-111.4312,1967704,27622,NA,NA,4,27033.665411088245,18125642,NA,1.403768046413485,84000004,USA,249022.48569356385,NA,NA,NA
Arkansas,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,34.9697,-92.3731,815299,10292,NA,NA,5,27016.3005947371,4933978,NA,1.262358962785432,84000005,USA,163495.64120135034,NA,NA,NA
California,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,36.1162,-119.6816,8922978,84004,NA,NA,6,22580.440487997857,144365762,NA,0.9417583479282864,84000006,USA,365369.8806063127,NA,NA,NA
Colorado,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,39.0598,-105.3111,1405817,12336,NA,NA,8,22672.04122571342,16450578,NA,0.8952814097178129,84000008,USA,285662.99965825834,NA,NA,NA
Connecticut,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,41.5978,-72.7554,720618,10374,NA,NA,9,20212.06146938521,13097108,NA,1.439597678659151,84000009,USA,367350.7350179663,NA,NA,NA
Delaware,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,39.3185,-75.5071,255210,2695,NA,NA,10,26208.609067494792,3114705,NA,1.0559931037185064,84000010,USA,3.1986241019384574e-5,NA,NA,NA
Diamond Princess,US,2022-02-21,2022,2,21,2022-02-22T04:31:49Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
