Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Oklahoma,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,35.5653,-96.9289,1194061,16852,NA,NA,40,30176.13725245901,NA,NA,1.411318182236921,84000040,USA,NA,NA
Oregon,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,44.572,-122.0709,890507,8520,NA,NA,41,21113.383788510284,NA,NA,0.9567583410349384,84000041,USA,NA,NA
Pennsylvania,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,40.5908,-77.2098,3239298,47098,NA,NA,42,25303.08376299964,NA,NA,1.4539569993251624,84000042,USA,NA,NA
Puerto Rico,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,18.2208,-66.5901,951611,5118,NA,NA,72,29796.561599201425,NA,NA,0.5378248044631683,630,PRI,NA,NA
Rhode Island,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,41.6809,-71.5118,423563,3667,NA,NA,44,39982.87646987193,NA,NA,0.86575078559742,84000044,USA,NA,NA
South Carolina,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,33.8569,-80.945,1703439,18331,NA,NA,45,33084.74698730596,NA,NA,1.0761171958608438,84000045,USA,NA,NA
South Dakota,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,44.2998,-99.4388,260639,3017,NA,NA,46,29462.086521473244,NA,NA,1.15753973887254,84000046,USA,NA,NA
Tennessee,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,35.7478,-86.6923,2335693,27759,NA,NA,47,34149.98651374236,NA,NA,1.1881250101836835,84000047,USA,NA,NA
Texas,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,31.0545,-97.5635,7963060,90704,NA,NA,48,27501.268197369136,NA,NA,1.138541816236918,84000048,USA,NA,NA
Utah,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,40.15,-111.8624,1036535,5011,NA,NA,49,32331.521498410148,NA,NA,0.4834376070272591,84000049,USA,NA,NA
Vermont,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,44.0459,-72.7107,141840,719,NA,NA,50,22731.169940495747,NA,NA,0.5069091934574168,84000050,USA,NA,NA
Virgin Islands,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,18.3358,-64.8963,23120,123,NA,NA,78,21553.49218779133,NA,NA,0.5320069204152249,850,VIR,NA,NA
Virginia,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,37.7693,-78.17,2080262,21769,NA,NA,51,24371.82788767736,NA,NA,1.046454725414395,84000051,USA,NA,NA
Washington,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,47.4009,-121.4905,1808301,14274,NA,NA,53,23746.899660967003,NA,NA,0.7893597360173997,84000053,USA,NA,NA
West Virginia,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,38.4912,-80.9545,598237,7382,NA,NA,54,33381.02287368168,NA,NA,1.2339591165374255,84000054,USA,NA,NA
Wisconsin,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,44.2685,-89.6165,1859978,15220,NA,NA,55,31945.02505309635,NA,NA,0.8182892485825101,84000055,USA,NA,NA
Wyoming,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,42.756,-107.3025,176256,1891,NA,NA,56,30454.12684727149,NA,NA,1.072871278140886,84000056,USA,NA,NA
