Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,32.3182,-86.9023,569131,11483,NA,NA,1,11607.3735745235,NA,NA,2.01763741563893,84000001,USA,NA,NA,NA,NA
Alaska,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,61.3707,-152.4044,73818,384,NA,NA,2,10090.698453273551,2461647,NA,0.5201983256116395,84000002,USA,336499.73685829306,NA,NA,NA
American Samoa,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,-14.271,-170.132,0,0,NA,NA,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,33.7298,-111.4312,915660,18170,NA,NA,4,12579.964298653184,10576774,NA,1.984361007360811,84000004,USA,145310.96620462096,NA,NA,NA
Arkansas,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,34.9697,-92.3731,374328,6048,NA,NA,5,12403.986474933428,3251546,NA,1.6156953260242355,84000005,USA,107745.43343437812,NA,NA,NA
California,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,36.1162,-119.6816,3971252,63793,NA,NA,6,10055.766793986762,72441974,NA,1.6062640800733503,84000006,USA,183340.66903803413,NA,NA,NA
Colorado,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,39.0598,-105.3111,575514,7006,NA,NA,8,9885.658936266567,9356288,NA,1.2137947509964184,84000008,USA,162471.20895974393,NA,NA,NA
Connecticut,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,41.5978,-72.7554,352037,8286,NA,NA,9,9874.01575244854,8985166,NA,2.3537298636222896,84000009,USA,252018.0282821552,NA,NA,NA
Delaware,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,39.3185,-75.5071,110729,1698,NA,NA,10,11371.235740898206,1948754,NA,1.5334736157646145,84000010,USA,2.00125903196257e-5,NA,NA,NA
Diamond Princess,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,38.8974,-77.0268,49973,1146,NA,NA,11,7080.846023161209,1712749,NA,2.2932383487083023,84000011,USA,242685.28896250649,NA,NA,NA
Florida,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,27.7663,-81.6868,2523510,38670,NA,NA,12,11749.422204024568,32749527,NA,1.5323894099884685,84000012,USA,152481.27398151864,NA,NA,NA
Georgia,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,33.0406,-83.6431,1157705,21614,NA,NA,13,10903.822895631078,9367744,NA,1.8669695647855025,84000013,USA,88229.92170510678,NA,NA,NA
Grand Princess,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
Guam,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,13.4443,144.7937,8501,143,NA,NA,66,5176.308690913298,173583,NA,1.6821550405834609,316,GUM,105695.70538699011,NA,NA,NA
Hawaii,US,2021-07-24,2021,7,24,2021-07-25T04:31:37Z,21.0943,-157.4983,40383,527,NA,NA,15,2852.164602449939,1812116,NA,1.3050045811356263,84000015,USA,127985.8631288704,NA,NA,NA
