Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-04-05,2021,4,5,2021-04-06T04:30:57Z,32.3182,-86.9023,516918,10638,NA,NA,1,10542.494317469156,NA,NA,2.057966640743793,84000001,USA,NA,NA,NA,NA
Alaska,US,2021-04-05,2021,4,5,2021-04-06T04:30:57Z,61.3707,-152.4044,64001,313,NA,NA,2,8748.744096398717,1919829,NA,0.4890548585178356,84000002,USA,262434.84679684776,NA,NA,NA
American Samoa,US,2021-04-05,2021,4,5,2021-04-06T04:30:57Z,-14.271,-170.132,0,0,NA,NA,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2021-04-05,2021,4,5,2021-04-06T04:30:57Z,33.7298,-111.4312,844910,16990,NA,NA,4,11607.95233555584,8642762,NA,2.010865062551041,84000004,USA,118740.18456824194,NA,NA,NA
Arkansas,US,2021-04-05,2021,4,5,2021-04-06T04:30:57Z,34.9697,-92.3731,331098,5648,NA,NA,5,10971.487876614916,2875430,NA,1.7058393587397085,84000005,USA,95282.19857883414,NA,NA,NA
California,US,2021-04-05,2021,4,5,2021-04-06T07:30:46Z,36.1162,-119.6816,3741491,58872,NA,NA,6,9473.84306876381,55087131,NA,1.5659870393334698,84000006,USA,139417.949225484,NA,NA,NA
Colorado,US,2021-04-05,2021,4,5,2021-04-06T04:30:57Z,39.0598,-105.3111,485667,6244,NA,NA,8,8143.939920149144,7098711,NA,1.3062167901950583,84000008,USA,123268.56101755664,NA,NA,NA
Connecticut,US,2021-04-05,2021,4,5,2021-04-06T04:30:57Z,41.5978,-72.7554,316655,7923,NA,NA,9,8881.613177284185,7273396,NA,2.50209218234356,84000009,USA,204005.9047139824,NA,NA,NA
Delaware,US,2021-04-05,2021,4,5,2021-04-06T04:30:57Z,39.3185,-75.5071,96577,1566,NA,NA,10,9917.906186714645,1623340,NA,1.6215040848235087,84000010,USA,1.6670774438159554e-5,NA,NA,NA
Diamond Princess,US,2021-04-05,2021,4,5,2021-04-06T04:30:57Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
