Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
North Dakota,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,47.5289,-99.784,273761,2232,NA,NA,38,35799.18694279468,NA,NA,0.8181458293623448,84000038,USA,NA,NA
Northern Mariana Islands,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,15.0979,145.6739,13212,41,NA,NA,69,23959.08893079936,NA,NA,0.3103239479261278,580,MNP,NA,NA
Ohio,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,40.3888,-82.7649,3197300,40257,NA,NA,39,27352.832981153384,NA,NA,1.258843399118006,84000039,USA,NA,NA
Oklahoma,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,35.5653,-96.9289,1211210,17138,NA,NA,40,30609.52430533355,NA,NA,1.4149486876759605,84000040,USA,NA,NA
Oregon,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,44.572,-122.0709,910693,8726,NA,NA,41,21591.98167168792,NA,NA,0.958171414516198,84000041,USA,NA,NA
Pennsylvania,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,40.5908,-77.2098,3317854,47840,NA,NA,42,25916.707161676204,NA,NA,1.4418958760692906,84000042,USA,NA,NA
Puerto Rico,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,18.2208,-66.5901,984975,5268,NA,NA,72,30841.245278977887,NA,NA,0.5348359095408513,630,PRI,NA,NA
Rhode Island,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,41.6809,-71.5118,433348,3705,NA,NA,44,40906.54649359378,NA,NA,0.854971062517884,84000044,USA,NA,NA
South Carolina,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,33.8569,-80.945,1725160,18633,NA,NA,45,33506.61932280566,NA,NA,1.0800737322914975,84000045,USA,NA,NA
South Dakota,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,44.2998,-99.4388,265019,3065,NA,NA,46,29957.19254537624,NA,NA,1.1565208532218445,84000046,USA,NA,NA
Tennessee,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,35.7478,-86.6923,2370066,28192,NA,NA,47,34622.03481709501,NA,NA,1.1893931607990025,84000047,USA,NA,NA
Texas,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,31.0545,-97.5635,8043873,91206,NA,NA,48,27741.433343584216,NA,NA,1.1338567876444594,84000048,USA,NA,NA
Utah,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,40.15,-111.8624,1047882,5065,NA,NA,49,32685.45626611453,NA,NA,0.4833559503837264,84000049,USA,NA,NA
Vermont,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,44.0459,-72.7107,145409,754,NA,NA,50,23303.13515142094,NA,NA,0.518537367013046,84000050,USA,NA,NA
Virgin Islands,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,18.3358,-64.8963,23388,124,NA,NA,78,21803.33370623112,NA,NA,0.530186420386523,850,VIR,NA,NA
Virginia,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,37.7693,-78.17,2123638,22217,NA,NA,51,24880.01022550592,NA,NA,1.0461764198983066,84000051,USA,NA,NA
Washington,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,47.4009,-121.4905,1839317,14597,NA,NA,53,24154.206762984064,NA,NA,0.793609801899292,84000053,USA,NA,NA
West Virginia,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,38.4912,-80.9545,608965,7534,NA,NA,54,33979.634483108806,NA,NA,1.2371811187835098,84000054,USA,NA,NA
Wisconsin,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,44.2685,-89.6165,1901392,15482,NA,NA,55,32656.3083411508,NA,NA,0.8142455632505028,84000055,USA,NA,NA
Wyoming,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,42.756,-107.3025,178866,1914,NA,NA,56,30905.091756672467,NA,NA,1.070074804602328,84000056,USA,NA,NA
