Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,32.3182,-86.9023,9115,369,NA,NA,1,185.89957344052897,NA,1178,NA,84000001,USA,NA,13.022330311739996,166340,4.048272078990674
Alaska,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,61.3707,-152.4044,375,10,291,74,2,51.261371480906845,NA,NA,NA,84000002,USA,4072.1105346893096,NA,24341,2.6666666666666665
American Samoa,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,-14.271,-170.132,0,0,NA,NA,60,0,NA,NA,NA,16,ASM,149.17057565464316,NA,83,NA
Arizona,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,33.7298,-111.4312,9945,450,1722,7773,4,136.63122223325897,NA,1449,NA,84000004,USA,1526.1755608852495,14.570135746606336,127971,4.524886877828054
Arkansas,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,34.9697,-92.3731,3703,87,2123,1493,5,122.70511935168751,NA,462,NA,84000005,USA,2317.2798120683947,12.476370510396976,59995,2.349446394815015
California,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,36.1162,-119.6816,63001,2512,NA,NA,6,159.44433194761024,NA,NA,NA,84000006,USA,2149.716057336372,NA,842874,3.974603174603175
Colorado,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,39.0598,-105.3111,22534,1350,2869,14557,8,318.9936124871847,NA,2986,NA,84000008,USA,1611.9642557465722,16.254763200870986,91347,5.138813282525858
Connecticut,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,41.5978,-72.7554,31784,2797,5413,23574,9,891.4850333227031,NA,9389,NA,84000009,USA,3258.475404644844,29.54002013591744,116174,8.800025169896804
Delaware,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,39.3185,-75.5071,5939,288,2110,3541,10,609.9013724064557,44063,NA,NA,84000010,USA,4.525018382277431e-7,NA,27326,4.849301229163159
Diamond Princess,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,NA,84088888,USA,NA,NA,NA,0
District of Columbia,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,38.8974,-77.0268,5654,285,825,4544,11,801.134681026824,NA,NA,NA,84000011,USA,3663.6254532418734,NA,25856,5.040679165192784
Florida,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,27.7663,-81.6868,38828,1600,NA,NA,12,180.78254706257,NA,6990,NA,84000012,USA,3511.887681649142,18.00247244256722,754274,4.120737612032554
Georgia,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,33.0406,-83.6431,31618,1355,NA,NA,13,297.7935418038822,NA,5835,NA,84000013,USA,2143.1559068674032,18.454677715225504,217303,4.285533556834714
Grand Princess,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,NA,84099999,USA,NA,NA,NA,2.912621359223301
Guam,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,13.4443,144.7937,149,5,123,21,66,90.72697270275044,NA,NA,NA,316,GUM,2262.0852589981064,NA,3715,3.355704697986577
Hawaii,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,21.0943,-157.4983,629,17,558,54,15,44.42491976675858,NA,74,NA,84000015,USA,2510.3370142097747,11.764705882352942,35541,2.702702702702702
Idaho,US,2020-05-07,2020,5,7,2020-05-08T02:32:36Z,44.2405,-114.4788,2178,67,1399,712,16,121.87581313494472,NA,205,NA,84000016,USA,1918.0414493165767,9.412304866850322,30890,3.076216712580349
