Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,32.3182,-86.9023,184723,2866,74439,107418,1,3767.408327444304,NA,NA,NA,84000001,USA,NA,NA,2201461,1.5515122643092631
Alaska,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,61.3707,-152.4044,13062,68,6946,6048,2,1785.5360914229473,NA,NA,NA,84000002,USA,76546.07713811181,NA,559969,0.5205940897259225
American Samoa,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,-14.271,-170.132,0,0,NA,NA,60,0,NA,NA,NA,16,ASM,2904.3331356373897,NA,1616,NA
Arizona,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,33.7298,-111.4312,238163,5874,39742,192547,4,3272.046433457984,NA,NA,NA,84000004,USA,23443.78823905367,NA,2681115,2.4663780688016192
Arkansas,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,34.9697,-92.3731,106115,1812,94528,9775,5,3516.2986065364084,NA,NA,NA,84000005,USA,42680.04151363045,NA,1288000,1.7075813975404044
California,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,36.1162,-119.6816,913367,17289,NA,NA,6,2311.725159072928,NA,NA,NA,84000006,USA,45018.68953310978,NA,17787885,1.8947596599132488
Colorado,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,39.0598,-105.3111,107872,2405,7513,85353,8,1651.2130439735386,NA,NA,NA,84000008,USA,31572.83126019321,NA,1818196,2.3378098413065653
Connecticut,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,41.5978,-72.7554,66052,4577,9800,51675,9,1852.6418770774976,NA,NA,NA,84000009,USA,59342.880390835286,NA,2115744,6.929388966269
Delaware,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,39.3185,-75.5071,23961,716,12643,10602,10,2460.657818526871,553629,NA,NA,84000010,USA,5.685453559589387e-6,NA,339341,2.9881891406869494
Diamond Princess,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,NA,84088888,USA,NA,NA,NA,0
District of Columbia,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,38.8974,-77.0268,16767,642,13104,3021,11,2375.7738232714464,NA,NA,NA,84000011,USA,70312.81659626865,NA,496232,3.828949722669529
Florida,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,27.7663,-81.6868,778636,16429,NA,NA,12,3625.316764052004,NA,NA,NA,84000012,USA,52587.723743893504,NA,11294653,2.1099717968344645
Georgia,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,33.0406,-83.6431,350923,7809,NA,NA,13,3305.161713911182,NA,NA,NA,84000013,USA,32446.969476491613,NA,3445032,2.225274490415276
Grand Princess,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,NA,84099999,USA,NA,NA,NA,2.912621359223301
Guam,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,13.4443,144.7937,4141,69,2503,1569,66,2521.4791541079835,NA,NA,NA,316,GUM,38661.86848851299,NA,63494,1.6662641873943491
Hawaii,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,21.0943,-157.4983,14672,212,11346,3114,15,1036.251864575329,NA,NA,NA,84000015,USA,35346.13298377254,NA,500456,1.444929116684842
Idaho,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,44.2405,-114.4788,59344,573,27760,31011,16,3320.752183048742,NA,NA,NA,84000016,USA,20624.26380685649,NA,368569,0.965556753842006
Illinois,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,40.3495,-88.9861,378958,9775,NA,NA,17,2990.556763704285,NA,NA,NA,84000017,USA,57400.31365657706,NA,7273665,2.579441521223988
Indiana,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,39.8494,-86.2583,162607,4264,113994,44349,18,2415.355174868791,2711078,NA,NA,84000018,USA,4.02701991720709e-6,NA,2711078,2.622273333866316
Iowa,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,42.0115,-93.2105,116238,1635,87739,26864,19,3684.165486027252,NA,NA,NA,84000019,USA,27364.242314750543,NA,863361,1.4065968099932895
Kansas,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,38.5266,-96.7265,80104,977,2518,76609,20,2749.5834640550247,NA,NA,NA,84000020,USA,21153.29827131576,NA,616262,1.2196644362328972
Kentucky,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,37.6681,-84.6701,96942,1407,17723,77812,21,2169.854418620163,NA,NA,NA,84000021,USA,39957.84830268464,NA,1785186,1.4513833013554496
Louisiana,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,31.1695,-91.8678,179842,5837,165282,8723,22,3868.573225658096,NA,NA,NA,84000022,USA,58025.95253736775,NA,2697507,3.245626716784733
Maine,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,44.6939,-69.3819,6199,146,5334,719,23,461.1623761728061,NA,NA,NA,84000023,USA,42730.53655227003,NA,574389,2.355218583642523
Maryland,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,39.0639,-76.8021,140279,4096,8064,128119,24,2320.317979118974,3266149,NA,NA,84000024,USA,5.402451006338411e-6,NA,3266149,2.919895351406839
Massachusetts,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,42.2302,-71.5301,150565,8612,122856,17845,25,2184.474928774061,5842279,NA,NA,84000025,USA,8.476280677716063e-6,NA,5668015,6.551323348719822
Michigan,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,43.3266,-84.5361,175612,7522,114939,53151,26,1758.4311060026191,4618562,NA,NA,84000026,USA,4.624640164568292e-6,NA,4579991,4.283306379974034
Minnesota,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,45.6945,-93.9002,133802,2402,118485,12915,27,2372.530689945727,NA,NA,NA,84000027,USA,47171.92540222484,NA,2660323,1.7951899074752249
Mississippi,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,32.7416,-89.6787,115088,3255,97675,14158,28,3867.010690660985,NA,NA,NA,84000028,USA,28380.030704107885,NA,844632,2.828270540803559
Missouri,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,38.4561,-92.2884,177752,2839,NA,NA,29,2896.196908542145,NA,NA,NA,84000029,USA,39215.889783146944,NA,2406847,1.5971690895179802
Montana,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,46.9219,-110.4544,27880,297,17832,9751,30,2608.586628841537,465607,NA,NA,84000030,USA,43564.425914455576,NA,465607,1.0652797704447632
Nebraska,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,41.1254,-98.2681,63797,596,41364,21837,31,3298.011588041406,NA,NA,NA,84000031,USA,29333.315412260497,NA,567426,0.9342132075175948
Nevada,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,38.3135,-117.0554,95703,1748,2358,91597,32,3107.0828880095683,NA,NA,NA,84000032,USA,25578.86678466935,NA,787869,1.82648401826484
New Hampshire,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,43.4525,-71.5639,10328,473,8823,1032,33,759.5731740053585,NA,NA,NA,84000033,USA,42494.83897681198,NA,577807,4.579783113865221
New Jersey,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,40.2989,-74.521,238243,16285,36477,185481,34,2682.2551645483827,NA,NA,NA,84000034,USA,49378.38528561087,NA,4385882,6.835457914818064
New Mexico,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,34.8405,-106.2485,41863,967,20765,20131,35,1996.490891722692,NA,NA,NA,84000035,USA,52893.91743437352,NA,1109095,2.3099156773284286
New York,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,42.1657,-74.9481,499652,33471,79092,387089,36,2568.434642891345,13752123,NA,NA,84000036,USA,70692.0599267147,NA,13752123,6.698862408236132
North Carolina,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,35.6301,-79.8064,260099,4157,218541,37401,37,2479.9477197169663,3849871,NA,NA,84000037,USA,3.670709540465161e-6,NA,3844453,1.598237594146844
North Dakota,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,47.5289,-99.784,38338,456,30757,6506,38,4949.597276861988,NA,NA,NA,84000038,USA,102899.37039243526,NA,784157,1.2089397916169569
Northern Mariana Islands,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,15.0979,145.6739,88,2,29,57,69,159.58218482518498,NA,NA,NA,580,MNP,28672.20368489772,NA,15811,2.272727272727273
Ohio,US,2020-10-25,2020,10,25,2020-10-26T04:30:38Z,40.3888,-82.7649,198115,5095,158836,34184,39,1694.8695793517038,4337273,NA,NA,84000039,USA,3.710527756627969e-6,NA,4199457,2.5717386366504305
