Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,32.3182,-86.9023,140423,2392,61232,76799,1,2863.9139661261,NA,NA,NA,84000001,USA,NA,NA,1692815,1.703424652656616
Alaska,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,61.3707,-152.4044,6479,44,2407,4028,2,885.6598021994546,NA,NA,NA,84000002,USA,55849.46927393394,NA,408564,0.6791171477079796
American Samoa,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,-14.271,-170.132,0,0,NA,NA,60,0,NA,NA,NA,16,ASM,2823.457522330656,NA,1571,NA
Arizona,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,33.7298,-111.4312,209907,5371,33250,171286,4,2883.846150358642,NA,NA,NA,84000004,USA,18251.30720153016,NA,1974359,2.5587522093117427
Arkansas,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,34.9697,-92.3731,72219,1157,64145,6917,5,2393.0977624789416,NA,NA,NA,84000005,USA,28039.49494400564,NA,846177,1.6020714770351292
California,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,36.1162,-119.6816,772821,14576,NA,NA,6,1955.931459487865,NA,NA,NA,84000006,USA,32902.532464447766,NA,13000522,1.8768632768829447
Colorado,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,39.0598,-105.3111,67962,2025,6197,54487,8,1088.5374846146794,NA,NA,NA,84000008,USA,19864.445947860782,NA,1143941,3.193695562007466
Connecticut,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,41.5978,-72.7554,55166,4487,9142,41537,9,1547.308814129129,NA,NA,NA,84000009,USA,39110.59614555574,NA,1394405,8.133633034840301
Delaware,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,39.3185,-75.5071,19234,634,10189,8411,10,1975.2219223549032,402211,NA,NA,84000010,USA,4.130477199814329e-6,NA,265905,3.2962462306332534
Diamond Princess,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,NA,84088888,USA,NA,NA,NA,0
District of Columbia,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,38.8974,-77.0268,14743,617,11691,2435,11,2088.9863109972525,NA,NA,NA,84000011,USA,47926.52912012628,NA,338241,4.185036966696059
Florida,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,27.7663,-81.6868,671201,12939,NA,NA,12,3125.1011221526737,NA,NA,NA,84000012,USA,41984.19042006148,NA,9017254,1.9277384866828269
Georgia,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,33.0406,-83.6431,299056,6419,NA,NA,13,2816.653344224865,NA,NA,NA,84000013,USA,24997.78901151437,NA,2654121,2.146420737253224
Grand Princess,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,NA,84099999,USA,NA,NA,NA,2.912621359223301
Guam,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,13.4443,144.7937,2013,28,1406,579,66,1225.727490272729,NA,NA,NA,316,GUM,27310.03659524201,NA,44851,1.3909587680079485
Hawaii,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,21.0943,-157.4983,10946,103,3885,6958,15,773.0924829363106,NA,NA,NA,84000015,USA,18575.6904578945,NA,263008,0.940983007491321
Idaho,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,44.2405,-114.4788,36093,429,19075,16589,16,2019.6803138106336,NA,NA,NA,84000016,USA,15760.031112466531,NA,281642,1.188596126672762
Illinois,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,40.3495,-88.9861,268238,8599,NA,NA,17,2116.8070477005635,NA,NA,NA,84000017,USA,38394.11083852905,NA,4865233,3.2057352053027537
Indiana,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,39.8494,-86.2583,107809,3444,84336,20029,18,1601.3887842923707,1838954,NA,NA,84000018,USA,2.731571863600991e-6,NA,1261892,3.194538489365452
Iowa,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,42.0115,-93.2105,76652,1248,55067,20337,19,2429.486509015648,NA,NA,NA,84000019,USA,22031.55555978156,NA,695111,1.628137556749987
Kansas,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,38.5266,-96.7265,50670,587,1920,48163,20,1739.256393234646,NA,NA,NA,84000020,USA,15934.636637176767,NA,464226,1.1584764160252614
Kentucky,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,37.6681,-84.6701,58764,1082,11043,46639,21,1315.3156016566118,NA,NA,NA,84000021,USA,23004.79466603756,NA,1027779,1.841263358518821
Louisiana,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,31.1695,-91.8678,158826,5296,145570,7960,22,3416.498988769991,NA,NA,NA,84000022,USA,45499.62850580172,NA,2115184,3.3344666490373114
Maine,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,44.6939,-69.3819,4941,138,4307,496,23,367.5759478415607,NA,NA,NA,84000023,USA,25456.32682939893,NA,342187,2.792956891317547
Maryland,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,39.0639,-76.8021,117888,3855,7286,106747,24,1949.9543475671885,2272265,NA,NA,84000024,USA,3.758493668206058e-6,NA,1482958,3.270052931596091
Massachusetts,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,42.2302,-71.5301,125699,8391,109397,7057,25,1823.7061340415808,3244108,NA,NA,84000025,USA,4.706719750430286e-6,NA,3131714,7.354871558246287
Michigan,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,43.3266,-84.5361,125742,6943,85513,33286,26,1259.0748020122846,3252947,NA,NA,84000026,USA,3.257227974727184e-6,NA,3218461,5.521623642060727
Minnesota,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,45.6945,-93.9002,85813,1985,79583,4245,27,1521.606374316622,NA,NA,NA,84000027,USA,22206.980881022027,NA,1252392,2.313169333317796
Mississippi,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,32.7416,-89.6787,91234,2756,78971,9507,28,3065.5051208793648,NA,NA,NA,84000028,USA,21260.05788016662,NA,632731,3.0208036477628952
Missouri,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,38.4561,-92.2884,110436,1794,NA,NA,29,1799.385671000947,NA,NA,NA,84000029,USA,18971.83966964664,NA,1164383,1.6244702814299683
Montana,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,46.9219,-110.4544,9431,141,7186,2104,30,882.4096304377523,292401,NA,NA,84000030,USA,27358.441135577265,NA,292401,1.4950694518078678
Nebraska,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,41.1254,-98.2681,39419,439,29799,9181,31,2037.781067902945,NA,NA,NA,84000031,USA,21141.40346814116,NA,408961,1.1136761460209543
Nevada,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,38.3135,-117.0554,74248,1494,1980,70774,32,2410.5272590089594,NA,NA,NA,84000032,USA,21087.66568965988,NA,649533,2.012175412132313
New Hampshire,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,43.4525,-71.5639,7781,438,7083,260,33,572.2539569070192,NA,NA,NA,84000033,USA,28197.16836886662,NA,383400,5.629096517157178
New Jersey,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,40.2989,-74.521,202129,16054,34503,151572,34,2275.666248976885,NA,NA,NA,84000034,USA,36420.88268771553,NA,3234972,7.942452592156494
New Mexico,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,34.8405,-106.2485,27041,832,14634,11575,35,1289.6139837821777,NA,NA,NA,84000035,USA,39678.72439764997,NA,831995,3.076809289597278
New York,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,42.1657,-74.9481,448897,32877,75903,340117,36,2307.531253532451,9530416,NA,NA,84000036,USA,48990.598687818645,NA,9530416,7.323951819682466
North Carolina,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,35.6301,-79.8064,188024,3149,167257,17618,37,1792.7392648647742,NA,NA,NA,84000037,USA,NA,NA,2683384,1.674786197506701
North Dakota,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,47.5289,-99.784,16677,177,13628,2528,38,2143.2639339056404,NA,NA,NA,84000038,USA,70102.30138755114,NA,534223,1.0836955856241963
Northern Mariana Islands,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,15.0979,145.6739,61,2,29,30,69,110.61946902654869,NA,NA,NA,580,MNP,26071.7394458146,NA,14377,3.278688524590164
Ohio,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,40.3888,-82.7649,140518,4218,118443,17857,39,1202.1284786681608,2807854,NA,NA,84000039,USA,2.402113079706735e-6,NA,2689480,3.0017506653951807
Oklahoma,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,35.5653,-96.9289,72284,924,61026,10334,40,1826.750815206884,NA,NA,NA,84000040,USA,25969.257798452403,NA,1027596,1.2782911847711804
Oregon,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,44.572,-122.0709,29850,521,5365,23964,41,707.7254935525851,NA,NA,NA,84000041,USA,14730.008058823962,NA,621273,1.745393634840871
Pennsylvania,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,40.5908,-77.2098,151642,7887,120531,23224,42,1184.519061842656,NA,NA,NA,84000042,USA,14490.881065434442,NA,2674452,5.201065667822899
Puerto Rico,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,18.2208,-66.5901,38284,570,NA,NA,72,1198.7372616161724,NA,NA,NA,630,PRI,19724.807699172183,NA,629950,1.488872636088183
Rhode Island,US,2020-09-16,2020,9,16,2020-09-17T04:30:32Z,41.6809,-71.5118,23358,1105,2235,20018,44,2204.91409443995,NA,NA,NA,84000044,USA,61745.05197000834,NA,654103,4.730713245997089
