Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,32.3182,-86.9023,1534287,20558,NA,NA,1,31291.64002581995,NA,NA,1.3399057673042918,84000001,USA,NA,NA
Alaska,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,61.3707,-152.4044,300177,1413,NA,NA,2,41033.292552064464,NA,NA,0.4707222738584235,84000002,USA,NA,NA
American Samoa,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,-14.271,-170.132,8257,34,NA,NA,60,14839.776423860105,NA,NA,0.4117718299624561,16,ASM,NA,NA
Arizona,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,33.7298,-111.4312,2287886,31548,NA,NA,4,31432.54504880462,NA,NA,1.3789148585200486,84000004,USA,NA,NA
Arkansas,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,34.9697,-92.3731,959855,12489,NA,NA,5,31806.40624772185,NA,NA,1.301134025451761,84000005,USA,NA,NA
California,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,36.1162,-119.6816,11368159,96890,NA,NA,6,28771.15013245395,NA,NA,0.852295643228991,84000006,USA,NA,NA
Colorado,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,39.0598,-105.3111,1674883,13421,NA,NA,8,29084.212229906007,NA,NA,0.80130970342406,84000008,USA,NA,NA
Connecticut,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,41.5978,-72.7554,913153,11463,NA,NA,9,25612.32798369388,NA,NA,1.2553208498466304,84000009,USA,NA,NA
Delaware,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,39.3185,-75.5071,313383,3147,NA,NA,10,32182.64384388825,NA,NA,1.004202525344387,84000010,USA,NA,NA
Diamond Princess,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA
District of Columbia,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,38.8974,-77.0268,169709,1397,NA,NA,11,24046.651146512428,NA,NA,0.8231737857155483,84000011,USA,NA,NA
Florida,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,27.7663,-81.6868,7192835,82176,NA,NA,12,33489.72473217267,NA,NA,1.1424702499084158,84000012,USA,NA,NA
Georgia,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,33.0406,-83.6431,2920663,40626,NA,NA,13,27508.209854688845,NA,NA,1.3909855399270643,84000013,USA,NA,NA
Grand Princess,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA
Guam,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,13.4443,144.7937,58835,403,NA,NA,66,35824.97610044511,NA,NA,0.6849664315458486,316,GUM,NA,NA
Hawaii,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,21.0943,-157.4983,361817,1704,NA,NA,15,25554.35802106405,NA,NA,0.4709563121688588,84000015,USA,NA,NA
Idaho,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,44.2405,-114.4788,499849,5216,NA,NA,16,27970.387199122582,NA,NA,1.043515141572755,84000016,USA,NA,NA
Illinois,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,40.3495,-88.9861,3814648,39997,NA,NA,17,30103.392401139507,NA,NA,1.0485108979911122,84000017,USA,NA,NA
Indiana,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,39.8494,-86.2583,1937565,24900,NA,NA,18,28780.48084888504,NA,NA,1.2851181766805242,84000018,USA,NA,NA
Iowa,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,42.0115,-93.2105,862925,10177,NA,NA,19,27350.423286963523,NA,NA,1.1793608946316307,84000019,USA,NA,NA
Kansas,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,38.5266,-96.7265,888210,9607,NA,NA,20,30487.959759916022,NA,NA,1.0816135823735378,84000020,USA,NA,NA
Kentucky,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,37.6681,-84.6701,1614528,17322,NA,NA,21,36138.00741459816,NA,NA,1.072883220359139,84000021,USA,NA,NA
Louisiana,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,31.1695,-91.8678,1461433,18168,NA,NA,22,31436.819958036427,NA,NA,1.2431633882634374,84000022,USA,NA,NA
Maine,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,44.6939,-69.3819,297247,2650,NA,NA,23,22113.10418297114,NA,NA,0.8915144644016593,84000023,USA,NA,NA
Maryland,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,39.0639,-76.8021,1268559,15558,NA,NA,24,20982.900186579507,NA,NA,1.2264309346274,84000024,USA,NA,NA
Massachusetts,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,42.2302,-71.5301,2086638,22023,NA,NA,25,30274.02381979377,NA,NA,1.0554298349785636,84000025,USA,NA,NA
Michigan,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,43.3266,-84.5361,2886176,39250,NA,NA,26,28899.742932135705,NA,NA,1.3599309259033403,84000026,USA,NA,NA
Minnesota,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,45.6945,-93.9002,1686048,13825,NA,NA,27,29896.41877342352,NA,NA,0.8199647934103893,84000027,USA,NA,NA
Mississippi,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,32.7416,-89.6787,933065,12968,NA,NA,28,31351.42091340185,NA,NA,1.38982814702084,84000028,USA,NA,NA
Missouri,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,38.4561,-92.2884,1674297,21859,NA,NA,29,27280.10821471144,NA,NA,1.3055628720591388,84000029,USA,NA,NA
Montana,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,46.9219,-110.4544,314564,3574,NA,NA,30,29432.11780182601,NA,NA,1.1361757861675208,84000030,USA,NA,NA
Nebraska,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,41.1254,-98.2681,533636,4550,NA,NA,31,27586.52776456673,NA,NA,0.8526411261609037,84000031,USA,NA,NA
Nevada,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,38.3135,-117.0554,852960,11555,NA,NA,32,27692.10390642552,NA,NA,1.3546942412305385,84000032,USA,NA,NA
New Hampshire,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,43.4525,-71.5639,357214,2751,NA,NA,33,26271.31794918185,NA,NA,0.770126590783116,84000033,USA,NA,NA
New Jersey,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,40.2989,-74.521,2797829,34905,NA,NA,34,31499.314921207497,NA,NA,1.2475744586248838,84000034,USA,NA,NA
New Mexico,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,34.8405,-106.2485,628243,8643,NA,NA,35,29961.57531205453,NA,NA,1.3757415522337697,84000035,USA,NA,NA
New York,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,42.1657,-74.9481,6252163,73146,NA,NA,36,32138.91276769328,NA,NA,1.1699311102413676,84000036,USA,NA,NA
North Carolina,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,35.6301,-79.8064,3237440,26953,NA,NA,37,30867.792439496097,NA,NA,0.8325405258475833,84000037,USA,NA,NA
North Dakota,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,47.5289,-99.784,273208,2387,NA,NA,38,35681.217538730445,NA,NA,0.8778543136959248,84000038,USA,NA,NA
Northern Mariana Islands,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,15.0979,145.6739,13171,40,NA,NA,69,23884.738140142177,NA,NA,0.3036975172727963,580,MNP,NA,NA
Ohio,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,40.3888,-82.7649,3185038,40256,NA,NA,39,27247.93183393076,NA,NA,1.2614606167964086,84000039,USA,NA,NA
Oklahoma,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,35.5653,-96.9289,1208316,17100,NA,NA,40,30536.387555026307,NA,NA,1.415192714488594,84000040,USA,NA,NA
Oregon,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,44.572,-122.0709,908188,8680,NA,NA,41,21532.58963278175,NA,NA,0.9557492501552542,84000041,USA,NA,NA
Pennsylvania,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,40.5908,-77.2098,3305389,47705,NA,NA,42,25819.33947920124,NA,NA,1.4432491909424277,84000042,USA,NA,NA
Puerto Rico,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,18.2208,-66.5901,982372,5260,NA,NA,72,30759.74091443952,NA,NA,0.5354387136441185,630,PRI,NA,NA
Rhode Island,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,41.6809,-71.5118,432042,3696,NA,NA,44,40783.26462839391,NA,NA,0.8554723846292721,84000044,USA,NA,NA
South Carolina,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,33.8569,-80.945,1721693,18578,NA,NA,45,33439.28211976816,NA,NA,1.0790541635471598,84000045,USA,NA,NA
South Dakota,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,44.2998,-99.4388,264187,3059,NA,NA,46,29863.14500841567,NA,NA,1.1578919477491325,84000046,USA,NA,NA
Tennessee,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,35.7478,-86.6923,2366090,28122,NA,NA,47,34517.249084589144,NA,NA,1.1909675837408362,84000047,USA,NA,NA
Texas,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,31.0545,-97.5635,8039843,91176,NA,NA,48,27727.53481779015,NA,NA,1.13405199579146,84000048,USA,NA,NA
Utah,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,40.15,-111.8624,1045472,5056,NA,NA,49,32610.28372798396,NA,NA,0.4836093171314009,84000049,USA,NA,NA
Vermont,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,44.0459,-72.7107,144895,740,NA,NA,50,23220.76190445665,NA,NA,0.5107146554401463,84000050,USA,NA,NA
Virgin Islands,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,18.3358,-64.8963,23344,124,NA,NA,78,21762.31494947235,NA,NA,0.5311857436600411,850,VIR,NA,NA
Virginia,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,37.7693,-78.17,2120280,22199,NA,NA,51,24840.668739651333,NA,NA,1.046984360556153,84000051,USA,NA,NA
Washington,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,47.4009,-121.4905,1838206,14577,NA,NA,53,24139.616932240544,NA,NA,0.7930014372709043,84000053,USA,NA,NA
West Virginia,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,38.4912,-80.9545,608104,7522,NA,NA,54,33931.59154913074,NA,NA,1.2369594674595137,84000054,USA,NA,NA
Wisconsin,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,44.2685,-89.6165,1897686,15461,NA,NA,55,32592.657984616057,NA,NA,0.814729096383701,84000055,USA,NA,NA
Wyoming,US,2022-10-31,2022,10,31,2022-11-01T04:31:42Z,42.756,-107.3025,178444,1908,NA,NA,56,30832.177123811467,NA,NA,1.06924301181323,84000056,USA,NA,NA
