Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,32.3182,-86.9023,1298626,19524,NA,NA,1,26485.355947205742,NA,NA,1.5034351691711083,84000001,USA,NA,NA,NA,NA
Alaska,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,61.3707,-152.4044,251506,1248,NA,NA,2,34380.11332180522,NA,NA,0.4962108259842707,84000002,USA,NA,NA,NA,NA
American Samoa,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,-14.271,-170.132,5663,21,NA,NA,60,10177.746625689691,NA,NA,0.3708281829419036,16,ASM,NA,NA,NA,NA
Arizona,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,33.7298,-111.4312,2019174,29852,NA,NA,4,27740.79552756344,19077981,NA,1.4784263268049211,84000004,USA,262106.3712189937,NA,NA,NA
Arkansas,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,34.9697,-92.3731,834553,11360,NA,NA,5,27654.314196680763,5101244,NA,1.3612077363570678,84000005,USA,169038.28081611663,NA,NA,NA
California,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,36.1162,-119.6816,9171019,89722,NA,NA,6,23215.011213112462,158902325,NA,0.9793991278749368,84000006,USA,402159.92150074674,NA,NA,NA
Colorado,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,39.0598,-105.3111,1430998,12510,NA,NA,8,23816.35483897856,17262317,NA,0.8771283852015391,84000008,USA,299758.7838720164,NA,NA,NA
Connecticut,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,41.5978,-72.7554,749783,10825,NA,NA,9,21030.0881808393,13846803,NA,1.4437510586396332,84000009,USA,388378.35495431366,NA,NA,NA
Delaware,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,39.3185,-75.5071,260735,2896,NA,NA,10,26775.995004949866,3264228,NA,1.1107062726523098,84000010,USA,3.3521756811712074e-5,NA,NA,NA
Diamond Princess,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,38.8974,-77.0268,140674,1333,NA,NA,11,19932.582263665976,NA,NA,0.947580931799764,84000011,USA,NA,NA,NA,NA
Florida,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,27.7663,-81.6868,5906352,73759,NA,NA,12,27499.8804576106,56631338,NA,1.2488080629126066,84000012,USA,263674.6040795639,NA,NA,NA
Georgia,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,33.0406,-83.6431,2509160,37659,NA,NA,13,23632.476543507782,17697298,NA,1.5008608458607662,84000013,USA,166681.6703073806,NA,NA,NA
Grand Princess,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
Guam,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,13.4443,144.7937,47871,354,NA,NA,66,29148.93228357964,383633,NA,0.7394873723130915,316,GUM,233596.3806635856,NA,NA,NA
Hawaii,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,21.0943,-157.4983,245035,1407,NA,NA,15,17306.296049360393,3740621,NA,0.5742036851878303,84000015,USA,264192.0314830719,NA,NA,NA
Idaho,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,44.2405,-114.4788,445350,4918,NA,NA,16,24920.7499447418,1216957,NA,1.1042999887728753,84000016,USA,68098.08261031356,NA,NA,NA
Illinois,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,40.3495,-88.9861,3106647,37852,NA,NA,17,24516.14491713543,NA,NA,1.15813151306137,84000017,USA,NA,NA,NA,NA
Indiana,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,39.8494,-86.2583,1695736,23535,NA,NA,18,25188.3665697744,19392241,NA,1.3878929267291606,84000018,USA,2.880512502638432e-5,NA,NA,NA
Iowa,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,42.0115,-93.2105,761356,9510,NA,NA,19,24131.192017926704,NA,NA,1.2490871550234055,84000019,USA,NA,NA,NA,NA
Kansas,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,38.5266,-96.7265,772667,8524,NA,NA,20,26521.92657571412,NA,NA,1.1031919313235845,84000020,USA,NA,NA,NA,NA
Kentucky,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,37.6681,-84.6701,1323526,15326,NA,NA,21,29624.50474777362,NA,NA,1.1579674294271514,84000021,USA,NA,NA,NA,NA
Louisiana,US,2022-04-20,2022,4,20,2022-04-21T04:31:50Z,31.1695,-91.8678,1235683,17213,NA,NA,22,25194.96454349236,13317759,NA,1.469611410598141,84000022,USA,286477.7187373757,NA,NA,NA
