"date","location","administered","admin_per_100k","series_complete_pop_pct","additional_doses_vax_pct","second_booster","administered_bivalent"
2022-11-02,"VT","1639176","262693","84.3","64.8",NA,NA
2022-11-02,"MT","1778506","166406","58.6","51",NA,NA
2022-11-02,"SC","8292901","161067","59.2","43.6",NA,NA
2022-11-02,"DE","2022080","207656","71.9","49.5",NA,NA
2022-11-02,"HI","3346693","236370","80.7","58.3",NA,NA
2022-11-02,"AR","4671930","154812","56.2","43.3",NA,NA
2022-11-02,"NE","3569949","184550","65.4","54.1",NA,NA
2022-11-02,"NH","2739839","201502","70.4","52.2",NA,NA
2022-11-02,"FL","40685933","189433","68.8","43.1",NA,NA
2022-11-02,"NY","43144062","221780","79.7","48",NA,NA
2022-11-02,"VA2","8194707","0","0","42.1",NA,NA
2022-11-02,"MI","17815347","178388","61.8","57.5",NA,NA
2022-11-02,"WV","2992160","166960","59.2","48.7",NA,NA
2022-11-02,"AZ","13840320","190148","65.3","48.6",NA,NA
2022-11-02,"KY","7197019","161091","59.1","47.4",NA,NA
2022-11-02,"RI","2514418","237352","86.5","57",NA,NA
2022-11-02,"AK","1269692","173563","64.6","48.2",NA,NA
2022-11-02,"MD","13874153","229489","78.6","55.4",NA,NA
2022-11-02,"ME","3298788","245407","82.3","59.5",NA,NA
2022-11-02,"MH","92665","119197","44.1","43.3",NA,NA
2022-11-02,"TX","49150973","169510","62.5","37.7",NA,NA
2022-11-02,"PW","50551","234772","85.6","66.6",NA,NA
2022-11-02,"ND","1240723","162811","57.8","47.1",NA,NA
2022-11-02,"MN","11968543","212222","71.3","61.6",NA,NA
2022-11-02,"NC","18656089","177879","65.6","30.6",NA,NA
2022-11-02,"DD2","9111160","0","0","26.6",NA,NA
2022-11-02,"MO","9988970","162755","58.2","46.1",NA,NA
2022-11-02,"IA","5791046","183547","63.7","56.2",NA,NA
2022-11-02,"WA","16587923","217835","75.1","56.7",NA,NA
2022-11-02,"DC","1838874","260556","83.2","46.9",NA,NA
2022-11-02,"GA","16354879","154038","56.6","42.4",NA,NA
2022-11-02,"CT","8575412","240525","82.1","54.5",NA,NA
2022-11-02,"NV","5367331","174255","62.8","41.9",NA,NA
2022-11-02,"AL","6717542","137004","52.6","38.5",NA,NA
2022-11-02,"NJ","18971515","213591","78.2","50.8",NA,NA
2022-11-02,"MP","114391","220615","84.3","52.4",NA,NA
2022-11-02,"OR","8769770","207926","71.5","57.2",NA,NA
2022-11-02,"VI","151974","142981","54.9","31.5",NA,NA
2022-11-02,"FM","183213","179059","67.5","50",NA,NA
2022-11-02,"NM","4469342","213148","74.1","53.4",NA,NA
2022-11-02,"VA","18446934","216120","75.7","52",NA,NA
2022-10-26,"MA","16811175","243905","82.5","54.7",NA,NA
2022-10-26,"TX","49144469","169488","62.5","37.7",NA,NA
2022-10-26,"CT","8510800","238713","81.9","54.3",NA,NA
2022-10-26,"SD","1596076","180417","65","45.4",NA,NA
2022-10-26,"UT","5777923","180225","65.9","48.1",NA,NA
2022-10-26,"PR","7798061","244171","86.1","62.7",NA,NA
2022-10-26,"NH","2739221","201456","70.4","52.2",NA,NA
2022-10-26,"SC","8242168","160082","59.1","43.5",NA,NA
2022-10-26,"VT","1626680","260690","84.2","64.6",NA,NA
2022-10-26,"KS","5057447","173598","64.3","47.5",NA,NA
2022-10-26,"IN","10588162","157276","57.2","49.4",NA,NA
2022-10-26,"MI","17666431","176897","61.7","57.3",NA,NA
2022-10-26,"VA2","8121315","0","0","41.8",NA,NA
2022-10-26,"PA","25709145","200821","71.7","45.8",NA,NA
2022-10-26,"WV","2976189","166068","59.2","48.6",NA,NA
2022-10-26,"WI","11583812","198951","67.4","59.3",NA,NA
2022-10-26,"NC","18519478","176576","65.3","30.4",NA,NA
2022-10-26,"DE","2006652","206072","71.8","49.3",NA,NA
2022-10-26,"MP","114391","220615","84.3","52.4",NA,NA
2022-10-26,"IH2","2430363","116687","43.3","35.3",NA,NA
2022-10-26,"AZ","13553789","186211","63.9","46.2",NA,NA
2022-10-26,"RI","2492251","235260","86.3","56.9",NA,NA
2022-10-26,"WA","16407406","215465","74.9","56.5",NA,NA
2022-10-26,"AK","1262205","172540","64.5","48",NA,NA
2022-10-26,"IL","25262528","199360","70.4","55.6",NA,NA
2022-10-26,"CA","82942108","209915","74.2","55.9",NA,NA
2022-10-26,"GU","381525","226439","84.7","52.3",NA,NA
2022-10-26,"TN","10861552","159046","55.8","47",NA,NA
2022-10-26,"MH","92665","119197","44.1","43.3",NA,NA
2022-10-26,"MN","11838868","209923","71.2","61.3",NA,NA
2022-10-26,"NY","42870606","220374","79.6","47.9",NA,NA
2022-10-26,"VA","18323033","214668","75.6","51.9",NA,NA
2022-10-26,"DC","1815498","257244","82.6","46.5",NA,NA
2022-10-26,"OK","6448042","162954","59.5","40.4",NA,NA
2022-10-26,"ND","1228866","161255","57.6","46.8",NA,NA
2022-10-26,"MS","4144932","139272","53.3","40.3",NA,NA
2022-10-26,"FL","40475812","188455","68.7","43",NA,NA
2022-10-26,"ME","3272422","243445","82.2","59.4",NA,NA
2022-10-26,"MO","9907845","161433","58.1","45.8",NA,NA
2022-10-26,"GA","16253328","153082","56.5","42.1",NA,NA
2022-10-26,"MD","13758048","227568","78.4","55.3",NA,NA
2022-10-26,"OR","8671858","205605","71.3","57",NA,NA
2022-10-26,"OH","19827305","169622","59.8","55.3",NA,NA
2022-10-26,"MT","1763702","165020","58.4","50.8",NA,NA
2022-10-26,"NJ","18851613","212241","78.1","50.7",NA,NA
2022-10-26,"AR","4641392","153800","56.2","43.1",NA,NA
2022-10-26,"LA","6707088","144276","54.7","42.3",NA,NA
2022-10-26,"FM","180863","176762","67","49.6",NA,NA
2022-10-26,"NV","5315414","172570","62.7","41.6",NA,NA
2022-10-26,"KY","7144109","159907","59","47.2",NA,NA
2022-10-26,"PW","50551","234772","85.6","66.6",NA,NA
2022-10-26,"HI","3325376","234864","80.6","58.2",NA,NA
2022-10-26,"CO","12152626","211029","72.5","56.1",NA,NA
2022-10-26,"BP2","335497","0","0","37.5",NA,NA
2022-10-26,"DD2","9079453","0","0","26.5",NA,NA
2022-10-26,"AL","6693189","136507","52.5","38.4",NA,NA
2022-10-26,"ID","2717932","152089","55.8","46.9",NA,NA
2022-10-26,"AS","114541","241688","89.5","57.9",NA,NA
2022-10-26,"IA","5726180","181491","63.6","56",NA,NA
